"","Variable","Estimate","Std. Error","z value","Pr(>|z|)"
"1","lives",-5214613164541255,47704065.45,-109311714.11,0
"2","policies",-2844980884753863,22242124.07,-127909586.14,0
"3","stars",-2428082336678388,10466298.8,-231990542.42,0
"4","pro_bing_negative",-2085694027386309,14907216.94,-139911697.53,0
"5","donald",-1604810806045522,17937429.3,-89467157.15,0
"6","chaffetz",-1584365130372222,44627311.9,-35502141.24,0
"7","fake",-1481669901451469,26413961.97,-56094193.79,0
"8","intelligent",-1470622088162523,24840905.24,-59201630.3,0
"9","presidency",-1246318870372644,21128422.47,-58987786.33,0
"10","women",-1227742595693715,11595990.45,-105876475.21,0
"11","love",-1166181008714435,19145347.13,-60911980.37,0
"12","don",-1149184373280193,9425139.12,-121927576.79,0
"13","voters",-1113602398931850,21644169.52,-51450456.33,0
"14","american",-1078932333765382,10635682.43,-101444579.7,0
"15","emails",-1069277884968548,10699814.88,-99934241.53,0
"16","candidate",-1048850508801024,14498714.51,-72340931.19,0
"17","losing",-960502979823092,22562693.26,-42570404.56,0
"18","issues",-940848328349485,14309359.01,-65750557.2,0
"19","head",-910627527937024,28319232.09,-32155798.76,0
"20","hope",-855691133705369,16067957.92,-53254504.28,0
"21","glad",-796079017638277,18866542.65,-42195278.3,0
"22","reality",-784194187078663,36606592.56,-21422212.02,0
"23","found",-765851792257146,13160196.37,-58194556.56,0
"24","time",-748163867234481,10356979.66,-72237649.54,0
"25","office",-683572026626199,22068772.31,-30974628.63,0
"26","house",-655601540626078,19697874.04,-33282857.8,0
"27","written",-632908731638649,12669408.08,-49955667.04,0
"28","lost",-621374377851306,14477092.66,-42921213,0
"29","real",-618920480073979,16873079.06,-36680944.71,0
"30","wrong",-558286089809988,15370590.63,-36321707.02,0
"31","russian",-401649476344212,16955796.14,-23688034.05,0
"32","people",-394808813341210,7679214.48,-51412656.1,0
"33","win",-388142747568538,25616564.74,-15152021.81,0
"34","lot",-359485772556919,10053984.94,-35755551.14,0
"35","read",-354954221171690,6419092.73,-55296633.99,0
"36","government",-328149504350029,21874029.65,-15001785.66,0
"37","presidential",-327363284828547,11905757.44,-27496216.56,0
"38","person",-273485592211615,13080383.84,-20908070.86,0
"39","write",-270445480998205,16423677.23,-16466804.43,0
"40","chapter",-244159778573000,14592784.54,-16731541.39,0
"41","wasn",-224741067261270,16661492.49,-13488651.59,0
"42","respect",-208338344436518,29564082.04,-7047008.74,0
"43","hillary",-195603508490562,3652602.3,-53551822.06,0
"44","news",-164453018009488,20152427.88,-8160456.84,0
"45","care",-150715443463477,23329979.43,-6460161.87,0
"46","book",-98561746050203.4,3500747.4,-28154486.71,0
"47","happened",-78435475125088.2,7509623.55,-10444661.38,0
"48","woman",-48543174103042.7,10295135.67,-4715156.33,0
"49","future",-12820190882529.9,15446028.05,-829999.2,0
"50","trump",13406750997515.3,7145002.07,1876381.68,0
"51","fault",28108237011077.1,9495692.8,2960103.87,0
"52","clinton",29872841860370.5,4816952.31,6201606.32,0
"53","politicians",38036144085868.2,25823301.87,1472938.83,0
"54","comey",159143803089146,19774950.09,8047747.4,0
"55","voted",159281924495121,16340797.02,9747500.34,0
"56","ideas",201984522621200,25050588.8,8063064.87,0
"57","party",207958165622822,19273037.58,10790108.45,0
"58","ll",226220043910442,12372988.84,18283378.96,0
"59","republican",255440026501312,27578784.53,9262193.05,0
"60","personal",284982287190055,12547085.97,22713025.78,0
"61","president",288474338245150,9295282.06,31034490.02,0
"62","election",290015758191329,7505017.32,38642916.58,0
"63","politics",303873656163449,13549268.52,22427310.79,0
"64","ve",309600909083216,11056919.39,28000648.12,0
"65","(Intercept)",310684494754253,9561046.55,32494820.84,0
"66","writing",370665597092031,14746959.02,25135053.04,0
"67","vote",381886307184364,9598521.09,39785952.82,0
"68","blame",460645180937138,12086553.19,38112204,0
"69","mistakes",490544383991836,19382079.09,25309172.54,0
"70","country",491294679918664,12773463.91,38462133.96,0
"71","america",500871007858839,15606724.75,32093281.31,0
